20201231,460,900,2200,4300,8400,41000
20201230,460,900,2200,4300,8400,41000
20201229,460,900,2200,4300,8400,41000
20201228,460,900,2200,4300,8400,41000
20201227,460,900,2200,4300,8400,41000
20201225,460,900,2200,4300,8400,41000
20201224,460,900,2200,4300,8400,41000
20201223,460,900,2200,4300,8400,41000
20201222,460,900,2200,4300,8400,41000
20201221,460,900,2200,4300,8400,41000
20201220,460,900,2200,4300,8400,41000
20201219,460,900,2200,4300,8400,41000
20201218,460,900,2200,4300,8400,41000
20201217,460,900,2200,4300,8400,41000
20201216,460,900,2200,4300,8400,41000
20201215,460,900,2200,4300,8400,41000
20201214,460,900,2200,4300,8400,41000
20201213,460,900,2200,4300,8400,41000
20201212,460,900,2200,4300,8400,41000
20201211,460,900,2200,4300,8400,41000
20201209,460,900,2200,4300,8400,41000
20201208,460,900,2200,4300,8400,41000
20201207,460,900,2200,4300,8400,41000
20201206,460,900,2200,4300,8400,41000
20201205,460,900,2200,4300,8400,41000
20201204,460,900,2200,4300,8400,41000
20201203,460,900,2200,4300,8400,41000
20201202,460,900,2200,4300,8400,41000
20201201,460,900,2200,4300,8400,41000
20201130,460,900,2200,4300,8400,41000
20201129,460,900,2200,4300,8400,41000
20201128,460,900,2200,4300,8400,41000
20201127,460,900,2200,4300,8400,41000
20201126,460,900,2200,4300,8400,41000
20201125,460,900,2200,4300,8400,41000
20201124,460,900,2200,4300,8400,41000
20201123,460,900,2200,4300,8400,41000
20201122,460,900,2200,4300,8400,41000
20201121,460,900,2200,4300,8400,41000
20201120,460,900,2200,4300,8400,41000
20201119,460,900,2200,4300,8400,41000
20201118,460,900,2200,4300,8400,41000
20201117,460,900,2200,4300,8400,41000
20201116,460,900,2200,4300,8400,41000
20201115,460,900,2200,4300,8400,41000
20201114,460,900,2200,4300,8400,41000
20201113,460,900,2200,4300,8400,41000
20201112,460,900,2200,4300,8400,41000
20201111,460,900,2200,4300,8400,41000
20201110,460,900,2200,4300,8400,41000
20201109,460,900,2200,4300,8400,41000
20201107,460,900,2200,4300,8400,41000
20201106,460,900,2200,4300,8400,41000
20201105,460,900,2200,4300,8400,41000
20201104,460,900,2200,4300,8400,41000
20201103,460,900,2200,4300,8400,41000
20201102,460,900,2200,4300,8400,41000
20201101,460,900,2200,4300,8400,41000
20201031,460,900,2200,4300,8400,41000
20201030,460,900,2200,4300,8400,41000
20201029,460,900,2200,4300,8400,41000
20201028,460,900,2200,4300,8400,41000
20201027,460,900,2200,4300,8400,41000
20201026,460,900,2200,4300,8400,41000
20201025,460,900,2200,4300,8400,41000
20201024,460,900,2200,4300,8400,41000
20201023,460,900,2200,4300,8400,41000
20201022,460,900,2200,4300,8400,41000
20201021,460,900,2200,4300,8400,41000
20201020,460,900,2200,4300,8400,41000
20201019,460,900,2200,4300,8400,41000
20201018,460,900,2200,4300,8400,41000
20201017,460,900,2200,4300,8400,41000
